,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
3898,,,,SOBRANTES DE HUESO O HUIC,,,,,,,,,,
3899,,,,BETERRAGA PRECOCIDA,,,,,,,,,,
3900,,,,CEBAD ENTERA TOSTADA A GR,,,,,,,,,,
3901,,,FREJOL REGIONAL,,,,,,,,,,,
3902,,ENSALADA DE FRUTA,,,,,,,,,,,,
3903,,,FREJOL NEGRO,,,,,,,,,,,
3904,VERDURA PARA SOPA PARA PE,,,,,,,,,,,,,
3905,,,,BETERRAGA PRECOCIDO,,,,,,,,,,
3906,,,,TE MANZANILLA ANIS FILTRA,,,,,,,,,,
3907,,,,,,,TUCO SAZONADOR ENVASADO,,,,,,,
3908,,,,,,,HONGO Y LAUREL ENVASADO,,,,,,,
3909,,,,,,,,MAÍZ PARDO (PARA CANCHA),,,,,,
3910,,,CAMOTE TUCAPELA,,,,,,,,,,,
3911,,,,,,,SAL DE MAR,,,,,,,
3912,,,,MOTE COCINADO,,,,,,,,,,
3913,,,,,,,,,,,TRIPAS DE CORDERO,,,
3914,,,,,,,,,,,,KIWICHA TOSTADA,,
3915,,,,,,,,,,,,,FIDEO TALLARON DE CASA,
3916,,,HABA PARTIDA SECA,,,,,,,,,,,
3917,,,,MENESTRA PRECOCIDA LENTEJ,,,,,,,,,,
3918,,,,,,,,YOGUR CON CEREALES,,,,,,
3919,,,,JUGOS PREPARADOS,,,,,,,,,,
3920,,FRUTA CONFITADA O ACARAME,,,,,,,,,,,,
3921,,,,SOPA DE MOTE CON TROZOS D,,,,,,,,,,
3922,,,,,,,,MAÍZ REVENTON,,,,,,
3923,,,,,,,,QUINUA PRECOCIDA,,,,,,
3924,,,,,,,,,,,,,FIDEO TALLARIN DE CASA,
3925,,,,AJO ENTERO,,,,,,,,,,
3926,,,,,,,,,,,HÍGADO DE ALPACA,,,
3927,COL CRIOLLO,,,,,,,,,,,,,
3928,PASTEL DE ESPINACA,,,,,,,,,,,,,
3929,,PLÁTANO BISCOCHO,,,,,,,,,,,,
3930,COLIFLOR,,,,,,,,,,,,,
3931,CUALNTRO CON ESPINACA MOL,,,,,,,,,,,,,
3932,,,,,,,,GRANOLA ENVASADA,,,,,,
3933,,,,,,,SAZONADOR TUCO ENVASADO,,,,,,,
3934,,,FREJOL CANARIO PRECOCIDA,,,,,,,,,,,
3935,,,,ARVEJA SECA ENTERA,,,,,,,,,,
3936,,,,CAFE PREPARADO,,,,,,,,,,
3937,,,,KIWICHA ENTERA,,,,,,,,,,
3938,,,,,,,,,,,CHARQUI DE ALPACA,,,
3939,,,,,,,,,,,CHARQUI DE CORDERO,,,
3940,,,,FULTRANTE VARIADOS,,,,,,,,,,
3941,PASTEL DE CHOCOLATE,,,,,,,,,,,,,
3942,COL CORAZÓN,,,,,,,,,,,,,
3943,,,HABA SECA PARTIDA A GRANE,,,,,,,,,,,
3944,,,,EXTRACTO DE VETERRAGA,,,,,,,,,,
3945,,,,,,,SAZONADOR TUCO SIBARITA E,,,,,,,
3946,LECHUGA CRIOLLA,,,,,,,,,,,,,
3947,COL CORAZON,,,,,,,,,,,,,
3948,,CHUPETE DE FRUTA CON HIEL,,,,,,,,,,,,
3949,,,HABAS SANCOCHADAS,,,,,,,,,,,
3950,,,,,,,,CANCHA DULCE INFLADA,,,,,,
3951,,,,,,,,,,,,BISCOCHO RELLENO DE CHOCO,,
3952,,,,,,,HONGOS Y LAUREL KENVASADO,,,,,,,
3953,,,,,,,,CANCHITA POP CORN DULCE,,,,,,
3954,,,,,,,SARDINA EN SALASA DE TOMA,,,,,,,
3955,,,,TOSTADAS ENVASADAS INTEGR,,,,,,,,,,
3956,,,,,,,,CHUÑO NEGRO REMOJADO,,,,,,
3957,,,,CHOCOTEJAS,,,,,,,,,,
3958,,,,,,,,ARROCILLO PAR PRRRO,,,,,,
3959,,,,,,,,MAÍZ REVENTON (POP-CORM),,,,,,
3960,,,,,,,,MAÍZ CACHIN,,,,,,
3961,,,,CAFE GRANO ENTERO TOSTADO,,,,,,,,,,
3962,,,HABAS  PARTIDA,,,,,,,,,,,
3963,LECHUGA PARA CONEJO,,,,,,,,,,,,,
3964,,,,,,,,,,,GALLINA CON VISCERAS,,,
3965,,,,,,,,,,,HIGADO CORDERO,,,
3966,,MARCIANO DE FRUTA,,,,,,,,,,,,
3967,,,,,,,,,,,MONDONGO  DE ALPACA,,,
3968,CARACOLES,,,,,,,,,,,,,
3969,,,,,,,,CANCHITA SERRANA FRITO,,,,,,
3970,,INJERTO DE LIMA NARANJA,,,,,,,,,,,,
3971,,PIÑA EN RODAJA,,,,,,,,,,,,
3972,,,,,,,SALCHI HUESO,,,,,,,
3973,,,,,,,,KIWICHA CON 7 SEMILLAS,,,,,,
3974,,,MIXTO ANTICUCHOS CON YUCA,,,,,,,,,,,
3975,VERDURA ENTERA  SURTIDA,,,,,,,,,,,,,
3976,,,,GUISADOR ENTERO,,,,,,,,,,
3977,,,,JUGO DE LIMÓN CON VODKA,,,,,,,,,,
3978,,PLÁTANO DE SEDA,,,,,,,,,,,,
3979,,,,,,,,,,,,BISCOCHO RELLENO BAÑADO C,,
3980,,,,FILETE DE MERLUZA,,,,,,,,,,
3981,CHOCOLATE CON CEREAL,,,,,,,,,,,,,
3982,,LIMON TORONJA,,,,,,,,,,,,
3983,,,,,,,SAZONADOR EN PILVO ENVASA,,,,,,,
3984,,,,BISCOTELAS,,,,,,,,,,
3985,,,,"ANIS, MANZANILLA, TE FILT",,,,,,,,,,
3986,VERDURAS ENTERAS SUTIDAS,,,,,,,,,,,,,
3987,,,,,,,ROSQUITA SALADA,,,,,,,
3988,,LIMON CIDRA,,,,,,,,,,,,
3989,,,,,,,,MAÍZ CHULPI,,,,,,
3990,,,,CHUPETE DE HIELO,,,,,,,,,,
3991,,,,,,,,,,,,,FIDEO TALLARIN ENVASADO,
3992,,,HABA TOSTADA,,,,,,,,,,,
3993,,,,,,,,,,,TRIPA DE CORDERO,,,
3994,,,,ANIS ENTERO A GRANEL,,,,,,,,,,
3995,,,,AJO ENTERO PELADO,,,,,,,,,,
3996,,PLÁTANO DOMINICO,,,,,,,,,,,,
3997,,NARANJA TANGEELO,,,,,,,,,,,,
3998,,NARANJA TANJELO,,,,,,,,,,,,
3999,,,,,,,,,,,ALFALFA PARA GALLINA,,,
4000,,,,,,,"HONGOS, LAUREL, SAL, ACHI",,,,,,,
4001,,,,TARWI ENTERO PRECOCIDOA G,,,,,,,,,,
4002,,,ROSQUITA DE YUCA,,,,,,,,,,,
4003,,,,BROASTER,,,,,,,,,,
4004,,,,,,,,CHUÑO BLANCO REMOJADO,,,,,,
4005,,,,,,,ENSALADA RUSA,,,,,,,
4006,,,,TOMATE DE ARBOL,,,,,,,,,,
4007,,,,PICANTE TACNEÑO,,,,,,,,,,
4008,,,,CAFE GANODERMA,,,,,,,,,,
4009,,,,CAFE INSTANTANEO,,,,,,,,,,
4010,,,,CHUÑO BLANCO ENTERO,,,,,,,,,,
4011,,,,,CABALLA EN TROZO,,,,,,,,,
4012,,,,TE DIGESTIVO,,,,,,,,,,
4013,,,,,,,,,,,CORAZON DE CORDERO,,,
4014,,,,ACHIOTE ENTERO,,,,,,,,,,
4015,LECHUGA DE SEDA,,,,,,,,,,,,,
4016,,,HABAS TOSTADAS,,,,,,,,,,,
4017,,,,,,,,ARROCILLO PARA ANIMAL,,,,,,
4018,,MAZAMORRA DE PIÑA,,,,,,,,,,,,
4019,,,,CAFE GRANO ENTERO CRUDO A,,,,,,,,,,
4020,,,,PASTEL DE CHIRIMOYA,,,,,,,,,,
4021,,,,,,,,CANCHA POP CORN PREPARADO,,,,,,
4022,,,,,,,SAL DE MARA,,,,,,,
4023,,,,,,,ANIS A GRANEL,,,,,,,
4024,,,HABAS FRITAS,,,,,,,,,,,
4025,,,,MANTEQUILLA SERRANA A GRA,,,,,,,,,,
4026,LECHUGA HIDROPONICA,,,,,,,,,,,,,
4027,PAM CARACOL,,,,,,,,,,,,,
4028,,,,,,,ATUN EN TROZOS EN SAL Y A,,,,,,,
4029,,NECTAR DE FRUTAS,,,,,,,,,,,,
4030,,,,,,,ROSQUITAS SALADA,,,,,,,
4031,,,,,,,,QUINUA NEGRA,,,,,,
4032,,,,,,,,CANCHA CHULLPI,,,,,,
4033,,,,KION  ENTERO,,,,,,,,,,
4034,VERDURAS HOJAS,,,,,,,,,,,,,
4035,,,,,,,,CANCHITA PREPARADA,,,,,,
4036,,,,HOT DOG DE TERNERA,,,,,,,,,,
4037,,,,GRATED DE BONITO,,,,,,,,,,
4038,,,,ALPISTE EN PEPA,,,,,,,,,,
4039,,,,PATE PARA MASCOTA,,,,,,,,,,
4040,VERDURAS CHINAS PICADAS,,,,,,,,,,,,,
4041,,,,MANTEQUILLA ENVASADA,,,,,,,,,,
4042,VERDURA PRECOCIDA,,,,,,,,,,,,,
4043,,,,,,,,,,,,,FIDEO TALLARIN CON ESPINA,
4044,,PLÁTANO ORGÁNICO,,,,,,,,,,,,
4045,VERDURA SURTIDA PARA LOCR,,,,,,,,,,,,,
4046,,,,,,,SAZONADOR TUCO SIBARIT,,,,,,,
4047,,,TRIPITAS FRITAS CON YUCA,,,,,,,,,,,
4048,,,,PAPITA FRITA PICANTE EVAS,,,,,,,,,,
4049,COLGAJO,,,,,,,,,,,,,
4050,,,,,,,,,,,PATAS DE CORDERO,,,
4051,,,,,,,,,,,CABEZA DE ALPACA,,,
4052,,,,,,,HONGOS LAUREL A GRANEL,,,,,,,
4053,,,,,,,,MAZAMORRA DE QUINUA,,,,,,
4054,,,,,,,,HOJUELA DE QUINUA NEGRA,,,,,,
4055,,,,,,,ANIS EN GRANO ENVASADO,,,,,,,
4056,,,,PASTEL DE MANJAR BLANCO,,,,,,,,,,
4057,,,,,,,SAL MARINA,,,,,,,
4058,,,,MOTE PRECOCIDO,,,,,,,,,,
4059,,,,,,,,,,,CABEZA DE CORDERO,,,
4060,,,,,,,,CANCHA SERRANA,,,,,,
4061,,,,,,,,,,,MONDONGO DE ALPACA,,,
4062,,,,,,,,CACAO GRANO SECO,,,,,,
4063,,,,,,,,ARROCILLO A GRANEL PARA P,,,,,,
4064,,,,PATE,,,,,,,,,,
4065,,,,ALITAS CROCANTES,,,,,,,,,,
4066,CHOCOLATE ENVASADO,,,,,,,,,,,,,
4067,,,,,,,,MAÍZ DE JORA CHANCADA,,,,,,
4068,,,,FILETE DE ANCHOVETA,,,,,,,,,,
4069,LECHUGA,,,,,,,,,,,,,
4070,,,,MOTE PRECICIDO,,,,,,,,,,
4071,,,,,,,,,,,MENUDENCIAS DE ALPACA,,,
4072,CHOCOLATE DE CACAO ARTESA,,,,,,,,,,,,,
4073,ESPINACA EN HOJA,,,,,,,,,,,,,
4074,CHOCOLATE GRANULADO,,,,,,,,,,,,,
4075,,JUGO DE FRUTA,,,,,,,,,,,,
4076,LECHUGA CREPA,,,,,,,,,,,,,
4077,,,,SIETE SEMILLAS PREPARADO,,,,,,,,,,
4078,,MAZAMORRA DE PIÑA CON MOT,,,,,,,,,,,,
4079,,,,PASTEL MIL HOJAS,,,,,,,,,,
4080,,,,FILETE DE TILAPIA,,,,,,,,,,
4081,VERDURAS SURTIDAS,,,,,,,,,,,,,
4082,ALMENDRAS CON CHOCOLATE,,,,,,,,,,,,,
4083,SACHA COL,,,,,,,,,,,,,
4084,ESPINACA EN HOJAS,,,,,,,,,,,,,
4085,,,,,,,SAL YODADA DE FLUORADA EN,,,,,,,
4086,,,,HEMOLIENTE,,,,,,,,,,
4087,,,,SIETE SEMILLAS PREPARADA,,,,,,,,,,
4088,,,,TEQUILA,,,,,,,,,,
4089,,NARANJA TANGELO,,,,,,,,,,,,
4090,VERDURA ENTERA SURTA,,,,,,,,,,,,,
4091,,,,,,,,,,,UBRE DE CORDERO,,,
4092,,,,,,,,MAÍZ PLOMO (PARA CANCHA),,,,,,
4093,,,,EMLLIENTE A GRANEL,,,,,,,,,,
4094,,,,,,,,CANCHITA POP CORM,,,,,,
4095,VERDURAS ENTERAS SURTIDA,,,,,,,,,,,,,
4096,,,,ARVEJA ENTERA PRECOCIDA,,,,,,,,,,
4097,,,,PASTEL SURTIDO,,,,,,,,,,
4098,,,,ENTERO DE ANCHOVETA EN AG,,,,,,,,,,
4099,,,,CAFE INSTANTANEO TOSTADO,,,,,,,,,,
4100,,,CAMOTE BLANCO,,,,,,,,,,,
4101,,LIMON DULCE,,,,,,,,,,,,
4102,,,,SIETE SEMILLAS  ENVASADAS,,,,,,,,,,
4103,CHOCOLATE INSTANTÁNEO DE,,,,,,,,,,,,,
4104,,,,MUÑA CON CEDRON GILTRANTE,,,,,,,,,,
4105,,,,PASTEL PAÑUELO,,,,,,,,,,
4106,,,,LENTEJONES,,,,,,,,,,
4107,,,,,,,,CANCHA MANA,,,,,,
4108,,,,TOMATE PARA GALLINA,,,,,,,,,,
4109,CHOCOLATE DE TAZA,,,,,,,,,,,,,
4110,,,,,CABALLA EN TROZOS,,,,,,,,,
4111,,,,,,,,,,,HIGADO Y BOFE DE ALPACA,,,
4112,,,,,,,,CHUÑO REMOJADO BLANCO,,,,,,
4113,,,,HOJA DE ACHIOTE PARA INFU,,,,,,,,,,
4114,,,,,,,,CANCHITA TOSTADA,,,,,,
4115,,PLÁTANO ORITO,,,,,,,,,,,,
4116,,,,,,,,,,,,,FIDEO DE MACARRON,
4117,,,,CHUÑO ENTERO NEGRO REMOJA,,,,,,,,,,
4118,,TE DE NARANJA,,,,,,,,,,,,
4119,,,,VERDURSA ENTERA SURTIDA,,,,,,,,,,
4120,ESPINACA CON ALBAHACA MOL,,,,,,,,,,,,,
4121,,,,Cafe Instantáneo,,,,,,,,,,
4122,,NARANJA TANGEKO,,,,,,,,,,,,
4123,,,,TOMATE ITALINO,,,,,,,,,,
4124,,NARANJA HUANDO,,,,,,,,,,,,
4125,,,,,,,,,,,,,FIDEO TALLARIN A GRANEL,
4126,,PIÑA EN TAJADA,,,,,,,,,,,,
4127,,,,,,,,CANCHA TOSTADA A GRANEL,,,,,,
4128,,,,ROSQUITAS DE MANTECA A GR,,,,,,,,,,
4129,,,,CHUÑO ENTERO A,,,,,,,,,,
4130,CULANTRO CON ESPINACA MOL,,,,,,,,,,,,,
4131,,,,,,,,,,,,,FIDEO CABELLO DE ANGEL,
4132,CHOCOLATE EN PASTA,,,,,,,,,,,,,
4133,,,,EMOLIENTE EN SOBRE (PARA,,,,,,,,,,
4134,,,,CHOCHO PRECOCIDO ENTERO,,,,,,,,,,
4135,,,,,,,,ARROCILLO PARA MASCOTA,,,,,,
4136,,,CAMOTE PARA MASCOTA,,,,,,,,,,,
4137,,,,SIETE CEREALES PREPARADA,,,,,,,,,,
4138,,,,,,,,,,,HUESO DE CORDERO PARA PER,,,
4139,,,,ALITAS BROSTER,,,,,,,,,,
4140,,,,,,,,MAÍZ PILPE,,,,,,
4141,,,,,,,,,,,SUERO PARA GALLINAS,,,
4142,,,,ENTERO DE CABALLA EN SALS,,,,,,,,,,
4143,,,,,LOMITO DE CABALLA,,,,,,,,,
4144,,,,MOTE BLANCO COCINADO,,,,,,,,,,
4145,,NECTAR FRUTA,,,,,,,,,,,,
4146,,,,GRATED DE ANCHOVETA EN AG,,,,,,,,,,
4147,,,,GRATED DE SARDINA EN SALS,,,,,,,,,,
4148,,,JUANE DE YUCA CON PAICHE,,,,,,,,,,,
4149,ALBAHA CON ESPINACA MOLID,,,,,,,,,,,,,
4150,,,,FILETE DE SARDINA,,,,,,,,,,
4151,,,,,,,,MAZAMORRA DE CHUÑO CON DU,,,,,,
4152,,,HABA PARTIDA PELADA,,,,,,,,,,,
4153,CHOCOLATE,,,,,,,,,,,,,
4154,,,,,CABALLA DE TROZOS,,,,,,,,,
4155,COLA DE CABALLO EN HOJA P,,,,,,,,,,,,,
4156,VERDURAS PARA CHIFA,,,,,,,,,,,,,
4157,,,,BEBIDA ENERGIZANTE,,,,,,,,,,
4158,,,,,,,,GRANOLA,,,,,,
4159,,,,,,,,TORTILLA DE MAÍZ,,,,,,
4160,,,,,,,,QUINUA INSTANTANEA,,,,,,
4161,,,,,,,,,,,SEBO DE CORDERO PARA PERR,,,
4162,,,HABA SIN CÁSCARA,,,,,,,,,,,
4163,,,,,,,,CEREALES AZUCARADOS ENVAS,,,,,,
4164,,,,,,,,CANCHITA POC CORN PREPARA,,,,,,
4165,,,,,,,,,,,CEBO DE CORDERO,,,
4166,,,,SIETE CEREALES PREPARADO,,,,,,,,,,
4167,,,,MANTECA VEGETAL,,,,,,,,,,
4168,,,,PATE DE CORDERO,,,,,,,,,,
4169,,LIMON REGIONAL,,,,,,,,,,,,
4170,,MIXTURA DE FRUTAS SECAS,,,,,,,,,,,,
4171,CHOCOLATE INSTANTÁNEO MIL,,,,,,,,,,,,,
4172,,,,KION ENTERO,,,,,,,,,,
4173,,,,,,,,H0JUELAS DE QUINUA,,,,,,
4174,,,,,,,,,,,CORAZON DE ALPACA,,,
4175,CULANTRO  Y ESPINACA MOLI,,,,,,,,,,,,,
4176,CULANTRO CON ESPINACA AJO,,,,,,,,,,,,,
4177,VERDURA ENTERA,,,,,,,,,,,,,
4178,,PLÁTANO ORO,,,,,,,,,,,,
4179,,,,ROSQUITAS DE MANTECA ENVA,,,,,,,,,,
4180,ESPINACA BEBÉ,,,,,,,,,,,,,
4181,VERDURAS ENTERAS PARA SOP,,,,,,,,,,,,,
4182,,,YUCA,,,,,,,,,,,
4183,,TAJADA DE PIÑA,,,,,,,,,,,,
4184,,FRUTA CHIRIMO AMARILO,,,,,,,,,,,,
4185,,,,STEVIA PARA COCA,,,,,,,,,,
4186,LECHUGA SEDITA,,,,,,,,,,,,,
4187,,,,AJO PELADO ENTERO,,,,,,,,,,
4188,,,,ENDULZANTE NARURAL STEVIA,,,,,,,,,,
4189,,,HABAS PARTIDA A GRANEL,,,,,,,,,,,
4190,,,,,,,,,,,MONDONGO DE CORDERO,,,
4191,,,,,,,,,,,BOFE DE ALPACA,,,
4192,,,,,,,,CANCHITA POP COR,,,,,,
4193,,,,,,,,MAZAMORRA DE QUINUA PREPA,,,,,,
4194,,,,CAFE DESCAFEINADO,,,,,,,,,,
4195,,,FREJOL BOCANEGRA,,,,,,,,,,,
4196,,,,,,,,,,,MENUDENCIA DE GALLINA DE,,,
4197,,,,TE ROJO A GRANEL,,,,,,,,,,
4198,,,,ACHIOTE,,,,,,,,,,
4199,,,CHIFLES DE CAMOTE ENVASAD,,,,,,,,,,,
4200,,,,PASTEL NEGRO,,,,,,,,,,
4201,,,,MOTE PRECOCICO,,,,,,,,,,
4202,,ENSALADA DE FRUTAS,,,,,,,,,,,,
4203,,,,,,,,,,,CEBO DE CORDERO PARA PERR,,,
4204,,,,FILETE DE PECHUGA,,,,,,,,,,
4205,,,CAMOTE SANCOCHADO,,,,,,,,,,,
4206,,,FREJOL LACTAO,,,,,,,,,,,
4207,,,,TALLARIN ARTESANAL,,,,,,,,,,
4208,,,,,,,,CHUÑO REMOJADO,,,,,,
4209,,JUGO LICUADO DE FRUTA,,,,,,,,,,,,
4210,,,,ESCENCIA DE ACHIOTE,,,,,,,,,,
4211,,,YUCA SANCOCHADA,,,,,,,,,,,
4212,,,FREJOL NEGRO PRECOCIDO,,,,,,,,,,,
4213,,,,PASTELS SURTIDOS,,,,,,,,,,
4214,,,,,,,TALLARIN SALTADO,,,,,,,
4215,CHOCOLATE DE TAZA ENVASAD,,,,,,,,,,,,,
4216,LECHUGA HORGANICA,,,,,,,,,,,,,
4217,,,,GELATINA DIETETICA,,,,,,,,,,
4218,,,,HOTDOG CALIENTE,,,,,,,,,,
4219,,,,CAFE PARA PASAR A GRANEL,,,,,,,,,,
4220,,,,,,,,,,,,,FIDEO ESPAGUETI,
4221,,,,,,,SAL DE MARAS,,,,,,,
4222,,,,PASTEL,,,,,,,,,,
4223,COLAPIZ,,,,,,,,,,,,,
4224,CULANTRO CON ESPINACA,,,,,,,,,,,,,
4225,,,,MOTE PRECOCINADO,,,,,,,,,,
4226,CHOCOLATE INSTANTANEO (MI,,,,,,,,,,,,,
4227,ESPINACA ALBAHACA CULANTR,,,,,,,,,,,,,
4228,,CHUPETE DE FRUTA,,,,,,,,,,,,
4229,,,,,,,,MAÍZ JORA,,,,,,
4230,COLIFLOR PICADA,,,,,,,,,,,,,
4231,,,,Te a Granel,,,,,,,,,,
4232,,,,,,,SALCHILLO,,,,,,,
4233,,,,GRATED DE SARDINA,,,,,,,,,,
4234,,CASCARA DE PIÑA PARA REFR,,,,,,,,,,,,
4235,,,,,,,,,,,,BISCOCHO RELLENO BAñADO E,,
4236,,PASTEL DE NARANJA,,,,,,,,,,,,
4237,,,,,,,ANIS ESTRELLA ENVASADO,,,,,,,
4238,,,,PALILLO ENTERO A GRANEL,,,,,,,,,,
4239,,,,CANCHITOS DE MANTECA,,,,,,,,,,
4240,,,,TOMATE REDONDO,,,,,,,,,,
4241,,,,ALITAS BROASTER,,,,,,,,,,
4242,,,FREJOL SOL DE ORO,,,,,,,,,,,
4243,BIZCOCHO BAÑADO EN CHOCOL,,,,,,,,,,,,,
4244,,,,,,,,,,,,,CEVICHE CON TALLARIN,
4245,,,,,,,,CEREALES AZUCARADOS,,,,,,
4246,,,,,,,SALCHIPILLO,,,,,,,
4247,,,,,,,ALIÑO PARA ENSALADAS,,,,,,,
4248,,,,,,,,CANCHAS CONFITADAS,,,,,,
4249,,,,LENTEJA PRECOCIDO,,,,,,,,,,
4250,,,,,,,,,,,,QUIWICHA TOSTADA,,
4251,,,,,,,,,,,,BISCOCHO BAÑADO CON CHOCO,,
4252,,MAZAMORRA PIÑA,,,,,,,,,,,,
4253,,,,COCO ENTERO,,,,,,,,,,
4254,,,,,,,,SEMILLAS DE GIRASOL,,,,,,
4255,,,,PATA BROASTER,,,,,,,,,,
4256,,,,,,,,CANCHA SERRANITA PREPARAD,,,,,,
4257,,,,,,,,MAÍZ JORA (MAÍZ NACIDO Y,,,,,,
4258,,CASCARA DE PIÑA PARA INFU,,,,,,,,,,,,
4259,,,,,,,,,,,,,TALLARIN CON CEVICHE,
4260,VERDURAS SURTIDAS ENTERAS,,,,,,,,,,,,,
4261,LECHUGA PARA AVE DE CORRA,,,,,,,,,,,,,
4262,,,,KAÑIGUA ENTERA,,,,,,,,,,
4263,,,,COCTEL DE MARACUYA,,,,,,,,,,
4264,,,,,,,,,,,,BISCOCHO CON DULCE,,
4265,,,,,,,,,,,CALDO DE CORDERO,,,
4266,,,,MENUDENCIA BROASTER,,,,,,,,,,
4267,CHOCOLATE INSTANTÁNEOS(MI,,,,,,,,,,,,,
4268,,,,CACAO ARTESANAL,,,,,,,,,,
4269,,,,,,,LAUREL SECO A GRANEL,,,,,,,
4270,,,,MESCLA  LÁCTEA,,,,,,,,,,
4271,,,FREJOL CANARIO PRECOCIDO,,,,,,,,,,,
4272,,Plátano de Seda,,,,,,,,,,,,
4273,,,,COMINO ENTERO A GRANEL,,,,,,,,,,
4274,,,,,,,,,,,MENUDENCIA DE CORDERO,,,
4275,,,,,,,TUCO SAZONADOR,,,,,,,
4276,,,,,,,SNACKS SALADOS,,,,,,,
4277,COLESH,,,,,,,,,,,,,
4278,LECHUGA HIDROPONICA SEDA,,,,,,,,,,,,,
4279,,,,,,,,,,,,BISCOCHO RELLENO CON MANJ,,
4280,,JUGO DE NARANJA EXPRIMIDO,,,,,,,,,,,,
4281,,,,TOMATE,,,,,,,,,,
4282,BROCOLI PARA PECES,,,,,,,,,,,,,
4283,,,,,,,,CANCHA POP CORN,,,,,,
4284,,,,CAFE GRANO ENTERO CRUDO,,,,,,,,,,
4285,,,,,,,SAZONADOR TUCO TALLARIN E,,,,,,,
4286,,,HABA PARTIDA,,,,,,,,,,,
4287,,,,SALCHI MOTE,,,,,,,,,,
4288,,,CAMOTE PARA ALIMENTO DE P,,,,,,,,,,,
4289,,,,,,,,,,,,BISCOCHO CON RELLENO DE C,,
4290,,CHIFON DE NARANJA,,,,,,,,,,,,
4291,,LIMON RUGOSO,,,,,,,,,,,,
4292,,,,PATITA BROASTER,,,,,,,,,,
4293,,,,,,,,,,,ASERRIN DE ALPACA PARA PE,,,
4294,,,HABA SECA PARTIDA,,,,,,,,,,,
4295,,,,HOJA DE LAUREL  ENTERA A,,,,,,,,,,
4296,CHOCOLATES,,,,,,,,,,,,,
4297,,PLÁTANO PARA FREIR,,,,,,,,,,,,
4298,,,,CHUPETES,,,,,,,,,,
4299,,,,,,,,CANCHITA,,,,,,
4300,,,,,,,ATUN SIN SAL,,,,,,,
4301,,,HABAS SECA PARTIDA A GRAN,,,,,,,,,,,
4302,,,,EMOLIENTE EN SOBRE PARA P,,,,,,,,,,
4303,COLA DE CABALLOEN HOJA PA,,,,,,,,,,,,,
4304,,,,MANTEQUILLA NATURAL ENVAS,,,,,,,,,,
4305,,,,,,,,QUINUA A GRANEL,,,,,,
4306,,,,,,,,CANCHITA SERRANA TOSTADA,,,,,,
4307,,,,COCA PARA INFUSIÓN (MATE),,,,,,,,,,
4308,,,,,,,,HOJUELA DE QUINUA A GRANE,,,,,,
4309,,FRUTAS SECAS MIXTA,,,,,,,,,,,,
4310,,LIMON MANDARINA,,,,,,,,,,,,
4311,,,HABA PRECOCIDA,,,,,,,,,,,
4312,VERDURA PICADA PARA CHIFA,,,,,,,,,,,,,
4313,,,,,,,SAL ROSADA,,,,,,,
4314,,,,,,,,HOJUELAS DE QUINUA,,,,,,
4315,,,,ROSQUITAS INTEGRALES,,,,,,,,,,
4316,,,,CAFE INSTANTANEO CON AZUC,,,,,,,,,,
4317,,,YUCA SANCOCHADO,,,,,,,,,,,
4318,,,,,,,,,,,SEBO DE CORDERO,,,
4319,,,,,,,,,,,CONCENTRADO PARA GALLINA,,,
4320,,,,ALITA BROSHTER,,,,,,,,,,
4321,,,,HOJA DE ACHIOTE,,,,,,,,,,
4322,VERDURAS ENTERAS SURTIDAS,,,,,,,,,,,,,
4323,,,,PATE DE HIGADO,,,,,,,,,,
4324,,,HABAS PRECOCIDA,,,,,,,,,,,
4325,,,,JUGO LICUADO,,,,,,,,,,
4326,,,,CAFE PARA PASAR CON CEBAD,,,,,,,,,,
4327,,,,,,,,CHUÑO INGLES ENVASADO,,,,,,
4328,,,,,,,,,,,TRIPA DE ALPACA,,,
4329,,,,PASTEL DE MAICENA,,,,,,,,,,
4330,,NARANJA CHINCHANA,,,,,,,,,,,,
4331,,,,,,,CONCHITAS SALADAS,,,,,,,
4332,,,,,,,,MAÍZ REVENTÓN,,,,,,
4333,,,,LENTEJA PRECOCIDA,,,,,,,,,,
4334,,,,,,,,MAÍZ ROJO,,,,,,
4335,,,,DIENTE DE LEÓN PARA INFUS,,,,,,,,,,
4336,,PALETA DE FRUTA,,,,,,,,,,,,
4337,,,,MESCLA LÁCTEA FORTIFICADA,,,,,,,,,,
4338,,,,,,,,CHUÑO A GRANEL,,,,,,
4339,,,,SOBRANTE DE MENU,,,,,,,,,,
4340,,,,,,,,MAÍZ CHULPE,,,,,,
4341,Brócoli,,,,,,,,,,,,,
4342,,,,PASTELITOS,,,,,,,,,,
4343,,,,CHUPETE DE COCO,,,,,,,,,,
4344,,TE CON NARANJA,,,,,,,,,,,,
4345,ENSALADA DE VERDURAS,,,,,,,,,,,,,
4346,,,,JUGO DE CAÑA DE AZUCAR EX,,,,,,,,,,
4347,,,,,,,,CANCHITA POP CORN ENVASAD,,,,,,
4348,,,,,,,,QUINUA BATIDA,,,,,,
4349,,TE DE  NARANJA,,,,,,,,,,,,
4350,,,,,,,,ARROCILLO A GRANEL PARA A,,,,,,
4351,,,,,,,,CANCHA TOSTADA,,,,,,
